Name,Created at,Financial Status,Fulfillment Status,Total,Subtotal,Email
#SHF1081,2026-01-04 19:15:45,refunded,fulfilled,1533255,1374369,le587@gmail.com
#SHF1082,2026-01-06 08:23:44,paid,fulfilled,3552766,3401989,dinh631@gmail.com
#SHF1083,2026-01-07 18:47:42,paid,fulfilled,1040677,1004409,mai421@outlook.com
#SHF1084,2026-01-08 02:36:13,paid,fulfilled,3594235,3283685,nguyen187@hotmail.com
#SHF1085,2026-01-09 02:09:03,paid,fulfilled,1671459,1511612,pham336@outlook.com
#SHF1086,2026-01-09 14:36:36,paid,unfulfilled,3359653,3151219,le680@gmail.com
#SHF1087,2026-01-09 21:05:27,paid,fulfilled,2466197,2260975,pham591@outlook.com
#SHF1088,2026-01-11 03:54:10,paid,fulfilled,887952,783426,pham306@icloud.com
#SHF1089,2026-01-13 11:30:47,paid,partial,2709373,2422325,thai584@hotmail.com
#SHF1090,2026-01-13 20:22:06,paid,unfulfilled,4647703,4389465,duong615@hotmail.com
#SHF1091,2026-01-17 23:20:46,paid,fulfilled,1530117,1437243,ngo32@gmail.com
#SHF1092,2026-01-19 07:23:39,paid,fulfilled,3396818,2997483,thai423@hotmail.com
#SHF1093,2026-01-21 03:36:41,refunded,fulfilled,2857821,2571974,ho784@gmail.com
#SHF1094,2026-01-21 05:35:13,paid,fulfilled,1025134,923437,tran282@hotmail.com
#SHF1095,2026-01-22 01:40:09,paid,fulfilled,744761,700425,cao495@hotmail.com
#SHF1096,2026-01-23 15:05:43,paid,fulfilled,3430098,3024571,lieu169@hotmail.com
#SHF1097,2026-01-26 15:40:44,paid,fulfilled,3471820,3087731,vu478@icloud.com
#SHF1098,2026-01-29 17:18:00,paid,fulfilled,564323,537231,ngo953@yahoo.com
#SHF1099,2026-02-01 23:54:16,paid,partial,1737715,1557112,vu524@icloud.com
#SHF1100,2026-02-02 19:42:28,paid,partial,1454480,1365388,do291@gmail.com
#SHF1101,2026-02-03 02:00:24,paid,fulfilled,2832811,2553599,bui827@gmail.com
#SHF1102,2026-02-03 11:27:11,paid,fulfilled,1354016,1203652,dam546@gmail.com
#SHF1103,2026-02-04 12:12:58,paid,fulfilled,1364909,1230991,duong557@yahoo.com
#SHF1104,2026-02-05 15:04:56,paid,fulfilled,1550493,1465222,le668@outlook.com
#SHF1105,2026-02-06 01:00:27,paid,fulfilled,782762,749113,le288@yahoo.com
#SHF1106,2026-02-06 07:08:39,partially_refunded,fulfilled,2105118,2009797,cao732@outlook.com
#SHF1107,2026-02-06 16:54:32,paid,unfulfilled,3383427,3098361,lieu770@yahoo.com
#SHF1108,2026-02-07 13:41:06,paid,unfulfilled,1916012,1801295,le617@icloud.com
#SHF1109,2026-02-07 19:30:36,refunded,unfulfilled,1071650,962822,thai237@yahoo.com
#SHF1110,2026-02-08 07:39:42,paid,fulfilled,4976576,4510685,nguyen149@hotmail.com
#SHF1111,2026-02-08 16:53:21,paid,fulfilled,885925,851081,vu376@yahoo.com
#SHF1112,2026-02-09 15:12:23,paid,fulfilled,3363793,2964074,truong464@icloud.com
#SHF1113,2026-02-10 19:07:57,paid,unfulfilled,4257974,3779785,thai323@yahoo.com
#SHF1114,2026-02-11 11:24:02,partially_refunded,unfulfilled,903081,811607,thai637@yahoo.com
#SHF1115,2026-02-12 02:41:38,refunded,fulfilled,2899105,2558135,dinh519@icloud.com
#SHF1116,2026-02-12 20:59:55,paid,fulfilled,878892,787776,ngo990@icloud.com
#SHF1117,2026-02-14 11:42:56,paid,fulfilled,4699591,4382245,pham172@hotmail.com
#SHF1118,2026-02-15 15:25:26,paid,fulfilled,3654240,3354329,nguyen305@hotmail.com
#SHF1119,2026-02-21 06:28:18,paid,partial,1156702,1110827,thai991@gmail.com
#SHF1120,2026-02-21 13:24:37,paid,fulfilled,3754600,3580273,dam99@outlook.com
#SHF1121,2026-02-22 14:25:26,paid,fulfilled,2485296,2263517,truong890@yahoo.com
#SHF1122,2026-02-22 17:52:57,paid,fulfilled,2690222,2430206,dam124@hotmail.com
#SHF1123,2026-02-23 05:05:04,paid,partial,4249783,3885033,ho322@gmail.com
#SHF1124,2026-02-24 10:24:16,paid,unfulfilled,3219269,3003985,mai341@outlook.com
#SHF1125,2026-02-24 19:36:48,partially_refunded,unfulfilled,2824797,2553971,do379@icloud.com
#SHF1126,2026-02-25 06:02:57,paid,fulfilled,1286667,1204543,tran738@outlook.com
#SHF1127,2026-02-27 10:14:22,paid,fulfilled,1853649,1699512,bui269@gmail.com
#SHF1128,2026-03-01 03:18:52,paid,fulfilled,2212503,2056929,lieu947@yahoo.com
#SHF1129,2026-03-01 06:56:33,paid,fulfilled,3485418,3203975,nguyen131@gmail.com
#SHF1130,2026-03-01 08:19:16,paid,unfulfilled,4109736,3725483,truong892@gmail.com
#SHF1131,2026-03-01 08:53:43,paid,fulfilled,1884418,1819143,luu187@yahoo.com
#SHF1132,2026-03-01 22:01:53,paid,partial,886594,841133,dang722@icloud.com
#SHF1133,2026-03-02 03:15:43,paid,partial,3369760,3007882,nguyen204@yahoo.com
#SHF1134,2026-03-03 13:59:16,paid,fulfilled,4306503,4126328,duong997@outlook.com
#SHF1135,2026-03-06 09:31:38,paid,fulfilled,4337247,4007047,duong971@hotmail.com
#SHF1136,2026-03-06 21:06:05,paid,unfulfilled,1592501,1529612,vu438@gmail.com
#SHF1137,2026-03-08 16:56:17,refunded,unfulfilled,637023,606437,lieu23@gmail.com
#SHF1138,2026-03-09 17:41:36,paid,fulfilled,1635964,1502255,hoang286@gmail.com
#SHF1139,2026-03-11 00:06:09,paid,fulfilled,1983624,1749600,nguyen680@icloud.com
#SHF1140,2026-03-12 06:40:33,paid,fulfilled,2655748,2401276,le303@hotmail.com
#SHF1141,2026-03-14 13:45:59,paid,partial,2456109,2281104,lieu696@outlook.com
#SHF1142,2026-03-15 07:16:10,paid,fulfilled,3545179,3321878,dang422@gmail.com
#SHF1143,2026-03-15 12:48:39,paid,fulfilled,4425282,3996958,dam805@gmail.com
#SHF1144,2026-03-16 12:23:46,paid,fulfilled,1373172,1225613,luu93@outlook.com
#SHF1145,2026-03-18 22:21:28,paid,fulfilled,4185540,3997792,truong139@hotmail.com
#SHF1146,2026-03-19 08:39:59,paid,fulfilled,1022244,990141,le571@icloud.com
#SHF1147,2026-03-19 12:16:21,paid,fulfilled,4563309,4231611,tran403@icloud.com
#SHF1148,2026-03-19 15:00:15,paid,fulfilled,1562636,1399264,duong140@hotmail.com
#SHF1149,2026-03-20 01:53:32,paid,fulfilled,2286921,2068537,vu665@yahoo.com
#SHF1150,2026-03-24 13:18:47,paid,fulfilled,1329735,1172367,thai525@yahoo.com
#SHF1151,2026-03-25 13:10:47,paid,fulfilled,3836007,3691339,thai924@hotmail.com
#SHF1152,2026-03-25 16:59:07,refunded,unfulfilled,4330375,3856621,nguyen600@hotmail.com
#SHF1153,2026-03-27 11:36:37,paid,fulfilled,3062469,2853873,le637@icloud.com
#SHF1154,2026-03-27 12:59:34,paid,fulfilled,3586176,3244287,le725@gmail.com
#SHF1155,2026-03-27 17:26:10,paid,unfulfilled,3795374,3529227,luu424@gmail.com
#SHF1156,2026-03-28 06:36:20,paid,fulfilled,4181262,3924648,thai174@hotmail.com
#SHF1157,2026-03-29 04:13:56,paid,fulfilled,3109089,2968175,pham932@outlook.com
#SHF1158,2026-03-30 04:24:08,paid,fulfilled,3008749,2703595,truong437@hotmail.com
#SHF1159,2026-04-02 10:01:05,partially_refunded,fulfilled,1414228,1245920,dinh786@icloud.com
#SHF1160,2026-04-02 16:44:40,paid,fulfilled,1453959,1297396,nguyen666@gmail.com
#SHF1161,2026-04-03 09:55:37,paid,fulfilled,2689415,2584532,ngo830@yahoo.com
#SHF1162,2026-04-03 13:01:44,paid,fulfilled,2127781,2039797,mai467@yahoo.com
#SHF1163,2026-04-03 14:17:30,paid,fulfilled,3869538,3613247,duong534@outlook.com
#SHF1164,2026-04-04 22:30:14,paid,fulfilled,3742374,3495551,dinh932@icloud.com
#SHF1165,2026-04-05 06:31:59,partially_refunded,fulfilled,845266,794426,mai606@yahoo.com
#SHF1166,2026-04-05 10:08:50,paid,fulfilled,4456679,3992219,do127@yahoo.com
#SHF1167,2026-04-07 11:02:34,partially_refunded,fulfilled,2038601,1961739,lieu431@gmail.com
#SHF1168,2026-04-08 03:56:18,partially_refunded,fulfilled,3077855,2824514,cao962@icloud.com
#SHF1169,2026-04-08 16:58:45,paid,unfulfilled,3571475,3266051,ngo458@hotmail.com
#SHF1170,2026-04-13 12:55:53,paid,fulfilled,4503484,4173390,hoang275@yahoo.com
#SHF1171,2026-04-13 23:45:05,paid,fulfilled,1607955,1421797,thai747@icloud.com
#SHF1172,2026-04-14 13:45:47,paid,fulfilled,4302010,3850150,truong958@gmail.com
#SHF1173,2026-04-15 13:51:37,paid,fulfilled,2432728,2302389,dam75@hotmail.com
#SHF1174,2026-04-16 16:40:02,paid,fulfilled,2399492,2129433,dang363@gmail.com
#SHF1175,2026-04-18 13:06:50,paid,unfulfilled,2861632,2673576,pham825@yahoo.com
#SHF1176,2026-04-18 13:41:24,paid,unfulfilled,1914397,1726941,duong923@gmail.com
#SHF1177,2026-04-19 14:04:08,refunded,fulfilled,3677993,3365498,lieu920@hotmail.com
#SHF1178,2026-04-20 00:24:45,paid,unfulfilled,3631209,3289811,pham164@yahoo.com
#SHF1179,2026-04-20 06:10:34,refunded,fulfilled,1723520,1571868,dang161@hotmail.com
#SHF1180,2026-04-20 10:49:22,paid,fulfilled,4557893,4305905,le544@gmail.com
#SHF1181,2026-04-20 11:18:13,paid,fulfilled,3717635,3370931,luu64@gmail.com
#SHF1182,2026-04-21 01:54:22,paid,partial,2800119,2606844,pham831@gmail.com
#SHF1183,2026-04-22 10:30:11,paid,fulfilled,2399443,2214312,do594@hotmail.com
#SHF1184,2026-04-22 13:41:32,refunded,fulfilled,3948503,3710528,cao804@yahoo.com
#SHF1185,2026-04-22 18:30:03,paid,fulfilled,1939758,1870537,truong324@icloud.com
#SHF1186,2026-04-25 03:44:47,refunded,fulfilled,2305468,2180814,vu737@icloud.com
#SHF1187,2026-04-25 16:36:10,paid,fulfilled,3927975,3532603,mai851@hotmail.com
#SHF1188,2026-04-26 15:25:16,paid,fulfilled,626108,552732,nguyen497@gmail.com
#SHF1189,2026-04-27 23:29:19,paid,fulfilled,3660110,3307289,dam244@yahoo.com
#SHF1190,2026-04-28 12:06:54,refunded,fulfilled,3730019,3482185,hoang645@hotmail.com
#SHF1191,2026-04-29 03:40:05,partially_refunded,fulfilled,2207692,1952986,lieu421@yahoo.com
#SHF1192,2026-04-30 06:55:04,paid,fulfilled,2580154,2385798,nguyen16@yahoo.com
#SHF1193,2026-04-30 15:15:26,paid,fulfilled,2744702,2562771,lieu527@icloud.com
#SHF1194,2026-05-02 20:45:34,paid,fulfilled,3877778,3529095,le102@icloud.com
#SHF1195,2026-05-03 11:16:55,paid,unfulfilled,3030034,2876660,le61@hotmail.com
#SHF1196,2026-05-04 05:18:21,partially_refunded,fulfilled,3192755,2840255,lieu691@gmail.com
#SHF1197,2026-05-04 06:47:20,refunded,fulfilled,888349,787754,truong844@icloud.com
#SHF1198,2026-05-04 15:19:34,paid,fulfilled,1562729,1477618,lieu247@icloud.com
#SHF1199,2026-05-07 06:33:57,paid,fulfilled,3624071,3350795,duong803@hotmail.com
#SHF1200,2026-05-07 12:12:15,paid,fulfilled,3886501,3660913,mai630@outlook.com
